Ticker,Name,Sector,Market Cap,Company,Sales,EBITDA
PANW,"Palo Alto Networks, Inc.",Networking & Communication Devices,4.17B,"Palo Alto Networks, Inc. (PANW)",438.35M,-6.62M
AYR,Aircastle LTD,Rental & Leasing Services,1.55B,Aircastle LTD (AYR),714.85M,N/A
AIRM,Air Methods Corp.,Specialized Health Services,2.27B,Air Methods Corp. (AIRM),874.05M,223.07M
PSBH,PSB Holdings Inc.,Savings & Loans,40.81M,PSB Holdings Inc. (PSBH),11.79M,N/A
LGCY,Legacy Reserves Lp,Oil & Gas Drilling & Exploration,1.62B,Legacy Reserves Lp (LGCY),453.90M,256.87M
SIBC,"State Investors Bancorp, Inc.",Money Center Banks,38.95M,"State Investors Bancorp, Inc. (SIBC)",7.36M,N/A
HY,"Hyster-Yale Materials Handling, Inc.",Trucks & Other Vehicles,1.56B,"Hyster-Yale Materials Handling, Inc. (HY)",2.60B,158.10M
GOOG,Google Inc.,Internet Information Providers,374.41B,Google Inc. (GOOG),57.39B,17.60B
GOOD,Gladstone Commercial Corp.,REIT - Diversified,256.22M,Gladstone Commercial Corp. (GOOD),58.27M,48.71M
JRCC,James River Coal Co.,Industrial Metals & Minerals,47.38M,James River Coal Co. (JRCC),735.78M,-17.41M
BECN,"Beacon Roofing Supply, Inc.",General Building Materials,1.97B,"Beacon Roofing Supply, Inc. (BECN)",2.24B,160.84M
INTLL,INTL FCStone Inc.,,488.82M,INTL FCStone Inc. (INTLL),54.53B,N/A
EXLS,"Exlservice Holdings, Inc.",Business Services,909.64M,"Exlservice Holdings, Inc. (EXLS)",471.98M,86.17M
EXLP,"Exterran Partners, L.P.",Oil & Gas Equipment & Services,1.49B,"Exterran Partners, L.P. (EXLP)",449.62M,198.12M
IFF,International Flavors & Fragrances Inc.,Specialty Chemicals,7.01B,International Flavors & Fragrances Inc. (IFF),2.91B,606.04M
PYT,PPlus Tr GSC-2 Tr Ctf Fltg Rate,,0,PPlus Tr GSC-2 Tr Ctf Fltg Rate (PYT),0,0
HE,Hawaiian Electric Industries Inc.,Electric Utilities,2.60B,Hawaiian Electric Industries Inc. (HE),3.25B,454.99M
HA,Hawaiian Holdings Inc.,Regional Airlines,504.49M,Hawaiian Holdings Inc. (HA),2.12B,170.29M
GWW,"W.W. Grainger, Inc.",Industrial Equipment Wholesale,17.73B,"W.W. Grainger, Inc. (GWW)",9.29B,1.48B
PYB,PPlus Trust Series GSG-2 Tr Ctf,,0,PPlus Trust Series GSG-2 Tr Ctf (PYB),0,0
PYC,Merrill Lynch Depositor Inc Ser,,0,Merrill Lynch Depositor Inc Ser (PYC),0,0
ARMH,ARM Holdings plc,,25.51B,ARM Holdings plc (ARMH),1.11B,419.72M
SBCF,Seacoast Banking Corp. of Florida,Regional - Mid-Atlantic Banks,229.42M,Seacoast Banking Corp. of Florida (SBCF),83.57M,N/A
WG,Willbros Group Inc.,Oil & Gas Equipment & Services,468.92M,Willbros Group Inc. (WG),2.11B,83.26M
LOPE,"Grand Canyon Education, Inc.",Education & Training Services,1.96B,"Grand Canyon Education, Inc. (LOPE)",577.19M,160.39M
OPOF,Old Point Financial Corporation,Regional - Mid-Atlantic Banks,63.57M,Old Point Financial Corporation (OPOF),37.85M,N/A
ELS,"Equity LifeStyle Properties, Inc.",REIT - Residential,3.02B,"Equity LifeStyle Properties, Inc. (ELS)",722.75M,330.39M
ELY,Callaway Golf Co.,Sporting Goods,628.28M,Callaway Golf Co. (ELY),835.57M,385.00K
MWIV,"MWI Veterinary Supply, Inc.",Medical Equipment Wholesale,2.18B,"MWI Veterinary Supply, Inc. (MWIV)",2.35B,111.79M
PETM,"PetSmart, Inc.","Specialty Retail, Other",7.55B,"PetSmart, Inc. (PETM)",6.84B,902.00M
PETS,"PetMed Express, Inc.",Drug Delivery,320.06M,"PetMed Express, Inc. (PETS)",235.40M,29.50M
RNET,"RigNet, Inc.",Wireless Communications,825.50M,"RigNet, Inc. (RNET)",210.28M,51.15M
CAVM,"Cavium, Inc.",Semiconductor - Broad Line,1.79B,"Cavium, Inc. (CAVM)",289.23M,19.99M
EAGLW,Silver Eagle Acquisition Corp.,,0,Silver Eagle Acquisition Corp. (EAGLW),0,0
SSNC,"SS&C; Technologies Holdings, Inc.",Business Software & Services,3.64B,"SS&C; Technologies Holdings, Inc. (SSNC)",701.93M,277.01M
GTN-A,Gray Television Inc.,,745.15M,Gray Television Inc. (GTN-A),377.33M,143.39M
SSNI,"Silver Spring Networks, Inc.",Computer Based Systems,989.71M,"Silver Spring Networks, Inc. (SSNI)",279.77M,-55.30M
CTHR,Charles & Colvard Ltd.,Jewelry Stores,101.59M,Charles & Colvard Ltd. (CTHR),28.01M,-269.91K
ENVI,"Envivio, Inc.",Communication Equipment,92.20M,"Envivio, Inc. (ENVI)",38.42M,-12.11M
ARTNA,Artesian Resources Corp.,Water Utilities,201.89M,Artesian Resources Corp. (ARTNA),69.13M,28.62M
IRBT,iRobot Corporation,Appliances,1.00B,iRobot Corporation (IRBT),461.75M,36.22M
GHDX,Genomic Health Inc.,Medical Laboratories & Research,899.70M,Genomic Health Inc. (GHDX),253.20M,4.95M
SCS,Steelcase Inc.,Business Equipment,1.97B,Steelcase Inc. (SCS),2.93B,228.20M
MKC-V,"McCormick & Company, Incorporated",,9.08B,"McCormick & Company, Incorporated (MKC-V)",4.10B,685.40M
SCI,Service Corp. International,Personal Services,3.84B,Service Corp. International (SCI),2.52B,617.76M
JOEZ,Joe's Jeans Inc.,Textile - Apparel Clothing,74.28M,Joe's Jeans Inc. (JOEZ),123.43M,9.36M
SCG,SCANA Corp.,Electric Utilities,6.60B,SCANA Corp. (SCG),4.50B,1.38B
SCD,LMP Capital and Income Fund Inc,,0,LMP Capital and Income Fund Inc (SCD),0,0
JTP,Nuveen Quality Preferred Income Fund,Closed-End Fund - Debt,497.26M,Nuveen Quality Preferred Income Fund (JTP),52.33M,N/A
WTFC,Wintrust Financial Corporation,Regional - Midwest Banks,1.84B,Wintrust Financial Corporation (WTFC),720.51M,N/A
CYT,Cytec Industries Inc.,Specialty Chemicals,3.30B,Cytec Industries Inc. (CYT),1.93B,362.50M
HXL,Hexcel Corp.,Aerospace/Defense Products & Services,4.45B,Hexcel Corp. (HXL),1.64B,310.20M
YUME,"YuMe, Inc.",Advertising Agencies,237.88M,"YuMe, Inc. (YUME)",142.56M,7.11M
INTL,INTL FCStone Inc.,Diversified Investments,355.88M,INTL FCStone Inc. (INTL),54.53B,N/A
AMSWA,"American Software, Inc.",Application Software,271.49M,"American Software, Inc. (AMSWA)",98.54M,15.18M
CSP,American Strategic Income Portf,,0,American Strategic Income Portf (CSP),0,0
YORW,The York Water Company,Water Utilities,270.88M,The York Water Company (YORW),42.12M,26.37M
BDMS,Birner Dental Management Services Inc.,Business Services,32.32M,Birner Dental Management Services Inc. (BDMS),63.77M,4.02M
SPTN,Spartan Stores Inc.,Food Wholesale,531.10M,Spartan Stores Inc. (SPTN),2.64B,106.62M
MNRO,Monro Muffler Brake Inc.,Auto Parts,1.77B,Monro Muffler Brake Inc. (MNRO),797.84M,110.92M
MNRK,"Monarch Financial Holdings, Inc.",Regional - Mid-Atlantic Banks,126.13M,"Monarch Financial Holdings, Inc. (MNRK)",120.92M,N/A
CYD,China Yuchai International Limited,Diversified Machinery,777.28M,China Yuchai International Limited (CYD),2.41B,253.67M
CSH,"Cash America International, Inc.",Credit Services,1.08B,"Cash America International, Inc. (CSH)",1.81B,282.13M
TRLA,"Trulia, Inc.",Internet Service Providers,1.32B,"Trulia, Inc. (TRLA)",92.81M,-559.00K
TRLG,"True Religion Apparel, Inc.",,0,"True Religion Apparel, Inc. (TRLG)",0,0
FENG,Phoenix New Media Limited,Internet Information Providers,721.86M,Phoenix New Media Limited (FENG),211.57M,35.68M
QIHU,Qihoo 360 Technology Co. Ltd.,Internet Service Providers,9.90B,Qihoo 360 Technology Co. Ltd. (QIHU),552.42M,145.92M
NGLS,Targa Resources Partners LP,Oil & Gas Pipelines,5.67B,Targa Resources Partners LP (NGLS),5.92B,574.30M
FUBC,"1st United Bancorp, Inc.",Regional - Mid-Atlantic Banks,260.93M,"1st United Bancorp, Inc. (FUBC)",62.19M,N/A
CODI,Compass Diversified Holdings,Staffing & Outsourcing Services,948.11M,Compass Diversified Holdings (CODI),971.00M,137.22M
KNX,Knight Transportation Inc.,Trucking,1.47B,Knight Transportation Inc. (KNX),961.82M,189.79M
KND,Kindred Healthcare Inc.,Long-Term Care Facilities,1.07B,Kindred Healthcare Inc. (KND),6.16B,390.99M
JAZZ,Jazz Pharmaceuticals Public Limited Company,Biotechnology,7.31B,Jazz Pharmaceuticals Public Limited Company (JAZZ),820.35M,418.00M
KNM,Konami Corp.,Multimedia & Graphics Software,3.18B,Konami Corp. (KNM),2.83B,362.62M
HCOM,"Hawaiian Telcom Holdco, Inc.",Diversified Communication Services,303.66M,"Hawaiian Telcom Holdco, Inc. (HCOM)",387.23M,115.54M
EZPW,"EZCORP, Inc.","Specialty Retail, Other",634.93M,"EZCORP, Inc. (EZPW)",1.05B,204.00M
CUZ,Cousins Properties Incorporated,REIT - Diversified,1.95B,Cousins Properties Incorporated (CUZ),179.25M,62.42M
YRCW,YRC Worldwide Inc.,Trucking,176.29M,YRC Worldwide Inc. (YRCW),4.83B,230.00M
CUK,Carnival plc,General Entertainment,32.17B,Carnival plc (CUK),15.46B,2.98B
NXQ,Nuveen Select Tax-Free Income Portfolio 2,Closed-End Fund - Debt,218.93M,Nuveen Select Tax-Free Income Portfolio 2 (NXQ),11.98M,N/A
HES,Hess Corporation,Oil & Gas Refining & Marketing,28.14B,Hess Corporation (HES),37.58B,7.32B
HEP,Holly Energy Partners L.P,Oil & Gas Pipelines,1.90B,Holly Energy Partners L.P (HEP),308.74M,202.10M
HEQ,John Hancock Hedged Equity & In,,0,John Hancock Hedged Equity & In (HEQ),0,0
NXN,Nuveen New York Select Tax-Free Income Portfolio,,0,Nuveen New York Select Tax-Free Income Portfolio (NXN),0,0
HEI,HEICO Corporation,Aerospace/Defense Products & Services,3.85B,HEICO Corporation (HEI),1.01B,220.38M
BPFHW,Boston Private Financial Holdin,,0,Boston Private Financial Holdin (BPFHW),0,0
TIBX,TIBCO Software Inc.,Business Software & Services,3.62B,TIBCO Software Inc. (TIBX),1.07B,193.67M
JIVE,"Jive Software, Inc.",Application Software,778.94M,"Jive Software, Inc. (JIVE)",138.98M,-54.11M
BYI,"Bally Technologies, Inc.",Gaming Activities,3.02B,"Bally Technologies, Inc. (BYI)",978.43M,315.23M
NIF,Nuveen Premier  Municipal Oppor,,0,Nuveen Premier  Municipal Oppor (NIF),0,0
ZAZA,ZaZa Energy Corporation,Oil & Gas Drilling & Exploration,102.52M,ZaZa Energy Corporation (ZAZA),8.50M,-132.74M
AWC,Alumina Ltd.,Aluminum,2.69B,Alumina Ltd. (AWC),200.00K,N/A
MHD,"Blackrock MuniHoldings Fund, Inc.",Closed-End Fund - Debt,204.78M,"Blackrock MuniHoldings Fund, Inc. (MHD)",18.56M,N/A
AWF,"AllianceBernstein Global High Income Fund, Inc.",Closed-End Fund - Debt,1.23B,"AllianceBernstein Global High Income Fund, Inc. (AWF)",114.43M,N/A
AWI,"Armstrong World Industries, Inc.",General Building Materials,3.12B,"Armstrong World Industries, Inc. (AWI)",2.67B,267.50M
AWH,"Allied World Assurance Company Holdings, AG",Property & Casualty Insurance,3.81B,"Allied World Assurance Company Holdings, AG (AWH)",2.11B,311.92M
AWK,"American Water Works Company, Inc.",Water Utilities,7.52B,"American Water Works Company, Inc. (AWK)",2.87B,1.30B
MHN,Blackrock MuniHoldings New York,,0,Blackrock MuniHoldings New York (MHN),0,0
MHO,"M/I Homes, Inc.",Residential Construction,619.89M,"M/I Homes, Inc. (MHO)",951.39M,63.84M
AWP,Alpine Global Premier Propertie,,0,Alpine Global Premier Propertie (AWP),0,0
MHR,Magnum Hunter Resources Corp.,Oil & Gas Drilling & Exploration,1.25B,Magnum Hunter Resources Corp. (MHR),292.27M,77.53M
AWR,American States Water Company,Water Utilities,1.11B,American States Water Company (AWR),473.70M,159.44M
STWD,"Starwood Property Trust, Inc.",REIT - Diversified,5.41B,"Starwood Property Trust, Inc. (STWD)",373.74M,N/A
Q,Quintiles Transnational Holdings Inc.,Medical Laboratories & Research,5.97B,Quintiles Transnational Holdings Inc. (Q),3.75B,524.14M
VELT,Velti Plc,Business Software & Services,0,Velti Plc (VELT),0,0
WBC,WABCO Holdings Inc.,Auto Parts,5.80B,WABCO Holdings Inc. (WBC),2.51B,407.60M
ELGX,Endologix Inc.,Medical Instruments & Supplies,1.11B,Endologix Inc. (ELGX),126.23M,-12.64M
WBK,Westpac Banking Corporation,Foreign Money Center Banks,89.93B,Westpac Banking Corporation (WBK),18.24B,N/A
BSPM,"Biostar Pharmaceuticals, Inc.",Drug Manufacturers - Major,25.56M,"Biostar Pharmaceuticals, Inc. (BSPM)",57.04M,-3.39M
WBS,Webster Financial Corp.,Regional - Northeast Banks,2.82B,Webster Financial Corp. (WBS),756.84M,N/A
LPTH,"LightPath Technologies, Inc.",Semiconductor Equipment & Materials,18.76M,"LightPath Technologies, Inc. (LPTH)",11.70M,1.01M
LPTN,Lpath Inc.,Biotechnology,56.15M,Lpath Inc. (LPTN),5.04M,-5.60M
BEAM,"Beam, Inc.",Beverages - Wineries & Distillers,11.10B,"Beam, Inc. (BEAM)",2.52B,765.60M
BCPC,Balchem Corp.,Chemicals - Major Diversified,1.77B,Balchem Corp. (BCPC),335.60M,74.76M
BKMU,Bank Mutual Corporation,Savings & Loans,325.49M,Bank Mutual Corporation (BKMU),88.60M,N/A
MEAS,Measurement Specialties Inc.,Scientific & Technical Instruments,962.91M,Measurement Specialties Inc. (MEAS),373.98M,63.97M
LLNW,"Limelight Networks, Inc.",Internet Information Providers,192.58M,"Limelight Networks, Inc. (LLNW)",177.70M,-9.67M
BEAV,B/E Aerospace Inc.,Aerospace/Defense Products & Services,9.12B,B/E Aerospace Inc. (BEAV),3.38B,727.70M
USCR,"U.S. Concrete, Inc.",General Building Materials,298.85M,"U.S. Concrete, Inc. (USCR)",598.74M,37.15M
BFS-PA,"Saul Centers, Inc. Depositary S",,0,"Saul Centers, Inc. Depositary S (BFS-PA)",0,0
NEON,"Neonode, Inc.",Diversified Electronics,239.70M,"Neonode, Inc. (NEON)",5.03M,-11.88M
XGTIW,"XG Technology, Inc",,0,"XG Technology, Inc (XGTIW)",0,0
SFL,Ship Finance International Limited,Shipping,1.53B,Ship Finance International Limited (SFL),262.19M,157.18M
FSBK,First South Bancorp Inc.,Savings & Loans,75.96M,First South Bancorp Inc. (FSBK),19.34M,N/A
CTWS,Connecticut Water Service Inc.,Water Utilities,391.25M,Connecticut Water Service Inc. (CTWS),89.39M,39.56M
BVA,Cordia Bancorp Inc.,Regional - Mid-Atlantic Banks,11.54M,Cordia Bancorp Inc. (BVA),8.08M,N/A
DHRM,Dehaier Medical Systems Limited,Medical Appliances & Equipment,17.92M,Dehaier Medical Systems Limited (DHRM),19.40M,4.52M
CPLA,Capella Education Co.,Education & Training Services,823.32M,Capella Education Co. (CPLA),416.64M,68.01M
PZN,"Pzena Investment Management, Inc",Asset Management,142.86M,"Pzena Investment Management, Inc (PZN)",86.33M,43.85M
VDSI,VASCO Data Security International Inc.,Security Software & Services,300.77M,VASCO Data Security International Inc. (VDSI),150.62M,15.59M
QADA,QAD Inc.,Application Software,277.56M,QAD Inc. (QADA),258.57M,10.89M
PZC,PIMCO California Municipal Inco,,0,PIMCO California Municipal Inco (PZC),0,0
PZB,"Merrill Lynch Depositor, Inc. M",,0,"Merrill Lynch Depositor, Inc. M (PZB)",0,0
SUMR,"Summer Infant, Inc.",Personal Products,32.53M,"Summer Infant, Inc. (SUMR)",221.95M,8.33M
DWSN,Dawson Geophysical Company,Oil & Gas Equipment & Services,268.97M,Dawson Geophysical Company (DWSN),305.30M,57.28M
AVID,"Avid Technology, Inc.",Multimedia & Graphics Software,317.24M,"Avid Technology, Inc. (AVID)",622.45M,7.43M
AVIV,"Aviv REIT, Inc.",REIT - Diversified,890.93M,"Aviv REIT, Inc. (AVIV)",131.29M,105.46M
MSCA,Main Street Capital Corporation,,915.87M,Main Street Capital Corporation (MSCA),109.27M,N/A
MSCC,Microsemi Corporation,Semiconductor - Integrated Circuits,2.34B,Microsemi Corporation (MSCC),975.94M,212.98M
CRTX,Cornerstone Therapeutics Inc.,Biotechnology,251.90M,Cornerstone Therapeutics Inc. (CRTX),167.01M,38.14M
ASGN,On Assignment Inc.,Staffing & Outsourcing Services,1.88B,On Assignment Inc. (ASGN),1.68B,161.90M
CATO,The Cato Corporation,Apparel Stores,914.31M,The Cato Corporation (CATO),937.09M,110.30M
CATY,Cathay General Bancorp,Regional - Pacific Banks,2.11B,Cathay General Bancorp (CATY),390.96M,N/A
VTUS,Ventrus Biosciences Inc.,Drug Manufacturers - Major,79.68M,Ventrus Biosciences Inc. (VTUS),N/A,-17.32M
CVGI,Commercial Vehicle Group Inc.,Auto Parts Wholesale,207.93M,Commercial Vehicle Group Inc. (CVGI),754.91M,25.57M
IRDM,Iridium Communications Inc.,Diversified Communication Services,479.20M,Iridium Communications Inc. (IRDM),376.73M,188.92M
GLW,Corning Inc.,Diversified Electronics,25.79B,Corning Inc. (GLW),8.01B,2.60B
GLT,PH Glatfelter Co.,Paper & Paper Products,1.20B,PH Glatfelter Co. (GLT),1.68B,154.94M
GLP,Global Partners LP,Basic Materials Wholesale,965.01M,Global Partners LP (GLP),19.91B,156.90M
SEM,Select Medical Holdings Corporation,Hospitals,1.62B,Select Medical Holdings Corporation (SEM),2.94B,378.13M
SEE,Sealed Air Corporation,Packaging & Containers,6.68B,Sealed Air Corporation (SEE),7.73B,1.02B
MFL,Blackrock MuniHoldings Investme,,0,Blackrock MuniHoldings Investme (MFL),0,0
REXI,"Resource America, Inc.",Asset Management,185.44M,"Resource America, Inc. (REXI)",62.92M,-3.70M
MFM,MFS Municipal Income Trust,Closed-End Fund - Debt,257.42M,MFS Municipal Income Trust (MFM),23.21M,N/A
CSRE,CSR plc,,1.72B,CSR plc (CSRE),1.00B,86.81M
CHFC,Chemical Financial Corporation,Regional - Midwest Banks,943.07M,Chemical Financial Corporation (CHFC),231.56M,N/A
UTIW,UTi Worldwide Inc.,Air Delivery & Freight Services,1.84B,UTi Worldwide Inc. (UTIW),4.46B,97.12M
HZO,Marinemax Inc.,"Specialty Retail, Other",378.60M,Marinemax Inc. (HZO),584.50M,25.12M
CHFN,Charter Financial Corporation,Regional - Mid-Atlantic Banks,236.65M,Charter Financial Corporation (CHFN),45.44M,N/A
KRC-PG,Kilroy Realty Corporation Prefe,,0,Kilroy Realty Corporation Prefe (KRC-PG),0,0
MNTX,"Manitex International, Inc.",Diversified Machinery,218.51M,"Manitex International, Inc. (MNTX)",236.16M,19.36M
UBFO,United Security Bancshares,Regional - Pacific Banks,72.09M,United Security Bancshares (UBFO),26.40M,N/A
MNTG,"MTR Gaming Group, Inc.",Resorts & Casinos,144.11M,"MTR Gaming Group, Inc. (MNTG)",501.76M,98.65M
MNTA,Momenta Pharmaceuticals Inc.,Drugs - Generic,904.37M,Momenta Pharmaceuticals Inc. (MNTA),35.44M,-90.01M
FELE,"Franklin Electric Co., Inc.",Industrial Electrical Equipment,2.13B,"Franklin Electric Co., Inc. (FELE)",940.98M,155.70M
ANFI,Amira Nature Foods Ltd.,Food - Major Diversified,562.25M,Amira Nature Foods Ltd. (ANFI),472.54M,61.17M
JAXB,"Jacksonville Bancorp, Inc.",Regional - Mid-Atlantic Banks,73.02M,"Jacksonville Bancorp, Inc. (JAXB)",1.22M,N/A
YGE,Yingli Green Energy Holding Co. Ltd.,Semiconductor - Specialized,790.75M,Yingli Green Energy Holding Co. Ltd. (YGE),2.01B,-6.81M
CQB,Chiquita Brands International Inc.,Farm Products,547.90M,Chiquita Brands International Inc. (CQB),3.05B,123.79M
TRNX,Tornier N.V.,Medical Instruments & Supplies,910.94M,Tornier N.V. (TRNX),306.60M,26.22M
ISS,iSoftStone Holdings Limited,Information Technology Services,295.93M,iSoftStone Holdings Limited (ISS),418.07M,26.18M
ABAX,"Abaxis, Inc.",Diagnostic Substances,891.07M,"Abaxis, Inc. (ABAX)",188.77M,33.98M
NBHC,National Bank Holdings Corp.,Regional - Midwest Banks,972.69M,National Bank Holdings Corp. (NBHC),205.57M,N/A
TX,Ternium S.A.,Steel & Iron,6.14B,Ternium S.A. (TX),8.48B,1.31B
TY,Tri Continental Corporation Com,,0,Tri Continental Corporation Com (TY),0,0
TR,Tootsie Roll Industries Inc.,Confectioners,1.94B,Tootsie Roll Industries Inc. (TR),535.61M,91.02M
TS,Tenaris SA,Metal Fabrication,25.79B,Tenaris SA (TS),10.68B,2.80B
TV,"Grupo Televisa, S.A.B.",Broadcasting - TV,17.36B,"Grupo Televisa, S.A.B. (TV)",5.63B,2.24B
TW,Towers Watson & Co.,Management Services,9.05B,Towers Watson & Co. (TW),3.61B,656.37M
TU,TELUS Corporation,Wireless Communications,21.46B,TELUS Corporation (TU),11.46B,3.96B
TK,Teekay Corporation,Shipping,3.40B,Teekay Corporation (TK),1.84B,611.24M
TI,Telecom Italia S.p.A.,Diversified Communication Services,19.20B,Telecom Italia S.p.A. (TI),36.19B,13.82B
TM,Toyota Motor Corporation,Auto Manufacturers - Major,193.18B,Toyota Motor Corporation (TM),301.07B,40.15B
TC,Thompson Creek Metals Company Inc.,Industrial Metals & Minerals,373.77M,Thompson Creek Metals Company Inc. (TC),416.70M,71.60M
TA,TravelCenters of America LLC,"Specialty Retail, Other",288.00M,TravelCenters of America LLC (TA),7.96B,88.57M
TG,Tredegar Corp.,Rubber & Plastics,927.71M,Tredegar Corp. (TG),961.29M,106.37M
TD,The Toronto-Dominion Bank,Money Center Banks,86.47B,The Toronto-Dominion Bank (TD),26.12B,N/A
TE,"TECO Energy, Inc.",Electric Utilities,3.75B,"TECO Energy, Inc. (TE)",2.85B,815.70M
TILE,Interface Inc.,Textile Industrial,1.46B,Interface Inc. (TILE),957.90M,110.84M
CAKE,The Cheesecake Factory Incorporated,Restaurants,2.45B,The Cheesecake Factory Incorporated (CAKE),1.87B,234.55M
