Ticker,Name,Sector,Market Cap,Company,Sales,EBITDA
AYN,Alliance New York Municipal Inc,,0,Alliance New York Municipal Inc(AYN),70M,747M
GTIM,Good Times Restaurants Inc.,Restaurants,9.26M,Good Times Restaurants Inc.(GTIM),172B,993M
AYI,"Acuity Brands, Inc.",Diversified Electronics,4.59B,"Acuity Brands, Inc.(AYI)",374B,549B
MJI,Blackrock MuniYield New Jersey ,,0,Blackrock MuniYield New Jersey (MJI),594M,563M
ZF,"Zweig Fund, Inc. (The) Common S",,0,"Zweig Fund, Inc. (The) Common S(ZF)",641B,613M
AEH,AEGON N.V. Perp. Cap Secs.,,0,AEGON N.V. Perp. Cap Secs.(AEH),199B,314B
PANW,"Palo Alto Networks, Inc.",Networking & Communication Devices,4.18B,"Palo Alto Networks, Inc.(PANW)",121M,894B
AYR,Aircastle LTD,Rental & Leasing Services,1.55B,Aircastle LTD(AYR),665B,126M
AIRM,Air Methods Corp.,Specialized Health Services,2.28B,Air Methods Corp.(AIRM),115M,242M
PSBH,PSB Holdings Inc.,Savings & Loans,41.26M,PSB Holdings Inc.(PSBH),419B,891M
LGCY,Legacy Reserves Lp,Oil & Gas Drilling & Exploration,1.61B,Legacy Reserves Lp(LGCY),964M,674B
SIBC,"State Investors Bancorp, Inc.",Money Center Banks,38.95M,"State Investors Bancorp, Inc.(SIBC)",856M,742B
HY,"Hyster-Yale Materials Handling, Inc.",Trucks & Other Vehicles,1.56B,"Hyster-Yale Materials Handling, Inc.(HY)",240B,912B
GOOG,Google Inc.,Internet Information Providers,371.30B,Google Inc.(GOOG),468B,832M
GOOD,Gladstone Commercial Corp.,REIT - Diversified,255.22M,Gladstone Commercial Corp.(GOOD),54B,662M
JRCC,James River Coal Co.,Industrial Metals & Minerals,48.43M,James River Coal Co.(JRCC),219M,171M
BECN,"Beacon Roofing Supply, Inc.",General Building Materials,2.00B,"Beacon Roofing Supply, Inc.(BECN)",626B,842B
INTLL,INTL FCStone Inc.,,488.82M,INTL FCStone Inc.(INTLL),324M,23M
EXLS,"Exlservice Holdings, Inc.",Business Services,899.76M,"Exlservice Holdings, Inc.(EXLS)",968B,824M
EXLP,"Exterran Partners, L.P.",Oil & Gas Equipment & Services,1.50B,"Exterran Partners, L.P.(EXLP)",119M,487B
IFF,International Flavors & Fragrances Inc.,Specialty Chemicals,7.01B,International Flavors & Fragrances Inc.(IFF),481B,234B
PYT,PPlus Tr GSC-2 Tr Ctf Fltg Rate,,0,PPlus Tr GSC-2 Tr Ctf Fltg Rate(PYT),253M,425M
HE,Hawaiian Electric Industries Inc.,Electric Utilities,2.59B,Hawaiian Electric Industries Inc.(HE),294M,501M
HA,Hawaiian Holdings Inc.,Regional Airlines,499.25M,Hawaiian Holdings Inc.(HA),493B,237B
GWW,"W.W. Grainger, Inc.",Industrial Equipment Wholesale,17.76B,"W.W. Grainger, Inc.(GWW)",899M,989B
PYB,PPlus Trust Series GSG-2 Tr Ctf,,0,PPlus Trust Series GSG-2 Tr Ctf(PYB),250M,394B
PYC,Merrill Lynch Depositor Inc Ser,,0,Merrill Lynch Depositor Inc Ser(PYC),93M,864B
ARMH,ARM Holdings plc,,25.44B,ARM Holdings plc(ARMH),188M,361M
SBCF,Seacoast Banking Corp. of Florida,Regional - Mid-Atlantic Banks,231.87M,Seacoast Banking Corp. of Florida(SBCF),2B,322M
WG,Willbros Group Inc.,Oil & Gas Equipment & Services,457.47M,Willbros Group Inc.(WG),459M,797B
LOPE,"Grand Canyon Education, Inc.",Education & Training Services,1.96B,"Grand Canyon Education, Inc.(LOPE)",490M,452M
OPOF,Old Point Financial Corporation,Regional - Mid-Atlantic Banks,63.82M,Old Point Financial Corporation(OPOF),202M,34M
ELS,"Equity LifeStyle Properties, Inc.",REIT - Residential,3.03B,"Equity LifeStyle Properties, Inc.(ELS)",255B,907B
ELY,Callaway Golf Co.,Sporting Goods,627.53M,Callaway Golf Co.(ELY),71M,962B
MWIV,"MWI Veterinary Supply, Inc.",Medical Equipment Wholesale,2.25B,"MWI Veterinary Supply, Inc.(MWIV)",23M,712M
PETM,"PetSmart, Inc.","Specialty Retail, Other",7.60B,"PetSmart, Inc.(PETM)",27B,302B
PETS,"PetMed Express, Inc.",Drug Delivery,317.34M,"PetMed Express, Inc.(PETS)",965B,39M
RNET,"RigNet, Inc.",Wireless Communications,802.08M,"RigNet, Inc.(RNET)",841M,247M
CAVM,"Cavium, Inc.",Semiconductor - Broad Line,1.73B,"Cavium, Inc.(CAVM)",118M,886B
EAGLW,Silver Eagle Acquisition Corp.,,0,Silver Eagle Acquisition Corp.(EAGLW),547M,742M
SSNC,"SS&C; Technologies Holdings, Inc.",Business Software & Services,3.58B,"SS&C; Technologies Holdings, Inc.(SSNC)",401B,477M
GTN-A,Gray Television Inc.,,717.79M,Gray Television Inc.(GTN-A),859B,598M
SSNI,"Silver Spring Networks, Inc.",Computer Based Systems,965.20M,"Silver Spring Networks, Inc.(SSNI)",679B,358M
CTHR,Charles & Colvard Ltd.,Jewelry Stores,102.39M,Charles & Colvard Ltd.(CTHR),156M,912M
ENVI,"Envivio, Inc.",Communication Equipment,94.10M,"Envivio, Inc.(ENVI)",414M,164B
ARTNA,Artesian Resources Corp.,Water Utilities,201.85M,Artesian Resources Corp.(ARTNA),787B,649M
IRBT,iRobot Corporation,Appliances,1.02B,iRobot Corporation(IRBT),416B,407M
GHDX,Genomic Health Inc.,Medical Laboratories & Research,892.02M,Genomic Health Inc.(GHDX),732M,574B
SCS,Steelcase Inc.,Business Equipment,1.98B,Steelcase Inc.(SCS),669M,19M
MKC-V,"McCormick & Company, Incorporated",,9.07B,"McCormick & Company, Incorporated(MKC-V)",556B,147M
SCI,Service Corp. International,Personal Services,3.82B,Service Corp. International(SCI),886M,209B
JOEZ,Joe's Jeans Inc.,Textile - Apparel Clothing,73.04M,Joe's Jeans Inc.(JOEZ),601M,45B
SCG,SCANA Corp.,Electric Utilities,6.61B,SCANA Corp.(SCG),495M,951B
SCD,LMP Capital and Income Fund Inc,,0,LMP Capital and Income Fund Inc(SCD),480B,335B
JTP,Nuveen Quality Preferred Income Fund,Closed-End Fund - Debt,493.06M,Nuveen Quality Preferred Income Fund(JTP),21M,716M
WTFC,Wintrust Financial Corporation,Regional - Midwest Banks,1.85B,Wintrust Financial Corporation(WTFC),572M,83B
CYT,Cytec Industries Inc.,Specialty Chemicals,3.31B,Cytec Industries Inc.(CYT),756M,684M
HXL,Hexcel Corp.,Aerospace/Defense Products & Services,4.45B,Hexcel Corp.(HXL),309M,535M
YUME,"YuMe, Inc.",Advertising Agencies,242.67M,"YuMe, Inc.(YUME)",24B,50M
INTL,INTL FCStone Inc.,Diversified Investments,355.07M,INTL FCStone Inc.(INTL),353M,918B
AMSWA,"American Software, Inc.",Application Software,272.87M,"American Software, Inc.(AMSWA)",127B,508M
CSP,American Strategic Income Portf,,0,American Strategic Income Portf(CSP),122M,437B
YORW,The York Water Company,Water Utilities,275.54M,The York Water Company(YORW),61M,240M
BDMS,Birner Dental Management Services Inc.,Business Services,32.17M,Birner Dental Management Services Inc.(BDMS),581B,996B
SPTN,Spartan Stores Inc.,Food Wholesale,520.16M,Spartan Stores Inc.(SPTN),290B,462M
MNRO,Monro Muffler Brake Inc.,Auto Parts,1.75B,Monro Muffler Brake Inc.(MNRO),34M,599M
MNRK,"Monarch Financial Holdings, Inc.",Regional - Mid-Atlantic Banks,122.34M,"Monarch Financial Holdings, Inc.(MNRK)",918M,547B
CYD,China Yuchai International Limited,Diversified Machinery,765.36M,China Yuchai International Limited(CYD),67M,599B
CSH,"Cash America International, Inc.",Credit Services,1.06B,"Cash America International, Inc.(CSH)",372M,633M
TRLA,"Trulia, Inc.",Internet Service Providers,1.26B,"Trulia, Inc.(TRLA)",239B,233B
TRLG,"True Religion Apparel, Inc.",,0,"True Religion Apparel, Inc.(TRLG)",100B,904M
FENG,Phoenix New Media Limited,Internet Information Providers,704.62M,Phoenix New Media Limited(FENG),379M,82B
QIHU,Qihoo 360 Technology Co. Ltd.,Internet Service Providers,9.76B,Qihoo 360 Technology Co. Ltd.(QIHU),748B,670M
NGLS,Targa Resources Partners LP,Oil & Gas Pipelines,5.67B,Targa Resources Partners LP(NGLS),37M,14M
FUBC,"1st United Bancorp, Inc.",Regional - Mid-Atlantic Banks,266.07M,"1st United Bancorp, Inc.(FUBC)",699B,661B
CODI,Compass Diversified Holdings,Staffing & Outsourcing Services,930.72M,Compass Diversified Holdings(CODI),362B,915B
KNX,Knight Transportation Inc.,Trucking,1.47B,Knight Transportation Inc.(KNX),379B,892M
KND,Kindred Healthcare Inc.,Long-Term Care Facilities,1.09B,Kindred Healthcare Inc.(KND),399B,999M
JAZZ,Jazz Pharmaceuticals Public Limited Company,Biotechnology,7.36B,Jazz Pharmaceuticals Public Limited Company(JAZZ),167M,996M
KNM,Konami Corp.,Multimedia & Graphics Software,3.19B,Konami Corp.(KNM),672M,839M
HCOM,"Hawaiian Telcom Holdco, Inc.",Diversified Communication Services,302.62M,"Hawaiian Telcom Holdco, Inc.(HCOM)",452M,588M
EZPW,"EZCORP, Inc.","Specialty Retail, Other",618.64M,"EZCORP, Inc.(EZPW)",520M,984M
CUZ,Cousins Properties Incorporated,REIT - Diversified,1.94B,Cousins Properties Incorporated(CUZ),279B,298M
YRCW,YRC Worldwide Inc.,Trucking,176.00M,YRC Worldwide Inc.(YRCW),405B,512M
CUK,Carnival plc,General Entertainment,31.95B,Carnival plc(CUK),91M,460M
NXQ,Nuveen Select Tax-Free Income Portfolio 2,Closed-End Fund - Debt,219.46M,Nuveen Select Tax-Free Income Portfolio 2(NXQ),552M,915M
HES,Hess Corporation,Oil & Gas Refining & Marketing,28.08B,Hess Corporation(HES),264M,505B
HEP,Holly Energy Partners L.P,Oil & Gas Pipelines,1.88B,Holly Energy Partners L.P(HEP),925B,166M
HEQ,John Hancock Hedged Equity & In,,0,John Hancock Hedged Equity & In(HEQ),234B,917B
NXN,Nuveen New York Select Tax-Free Income Portfolio,,0,Nuveen New York Select Tax-Free Income Portfolio(NXN),269M,977M
HEI,HEICO Corporation,Aerospace/Defense Products & Services,3.92B,HEICO Corporation(HEI),166M,576M
BPFHW,Boston Private Financial Holdin,,0,Boston Private Financial Holdin(BPFHW),842M,329B
TIBX,TIBCO Software Inc.,Business Software & Services,3.66B,TIBCO Software Inc.(TIBX),381B,757M
JIVE,"Jive Software, Inc.",Application Software,776.86M,"Jive Software, Inc.(JIVE)",362M,431B
BYI,"Bally Technologies, Inc.",Gaming Activities,2.97B,"Bally Technologies, Inc.(BYI)",847B,576B
NIF,Nuveen Premier  Municipal Oppor,,0,Nuveen Premier  Municipal Oppor(NIF),243M,230B
ZAZA,ZaZa Energy Corporation,Oil & Gas Drilling & Exploration,101.93M,ZaZa Energy Corporation(ZAZA),382B,175B
AWC,Alumina Ltd.,Aluminum,2.63B,Alumina Ltd.(AWC),968B,237M
MHD,"Blackrock MuniHoldings Fund, Inc.",Closed-End Fund - Debt,204.88M,"Blackrock MuniHoldings Fund, Inc.(MHD)",15B,589B
AWF,"AllianceBernstein Global High Income Fund, Inc.",Closed-End Fund - Debt,1.25B,"AllianceBernstein Global High Income Fund, Inc.(AWF)",210B,786M
AWI,"Armstrong World Industries, Inc.",General Building Materials,3.11B,"Armstrong World Industries, Inc.(AWI)",981M,164B
AWH,"Allied World Assurance Company Holdings, AG",Property & Casualty Insurance,3.78B,"Allied World Assurance Company Holdings, AG(AWH)",48M,557B
AWK,"American Water Works Company, Inc.",Water Utilities,7.52B,"American Water Works Company, Inc.(AWK)",485B,27M
MHN,Blackrock MuniHoldings New York,,0,Blackrock MuniHoldings New York(MHN),525B,795M
MHO,"M/I Homes, Inc.",Residential Construction,613.67M,"M/I Homes, Inc.(MHO)",705M,290B
AWP,Alpine Global Premier Propertie,,0,Alpine Global Premier Propertie(AWP),797M,845M
MHR,Magnum Hunter Resources Corp.,Oil & Gas Drilling & Exploration,1.25B,Magnum Hunter Resources Corp.(MHR),18M,833B
AWR,American States Water Company,Water Utilities,1.12B,American States Water Company(AWR),648M,273M
STWD,"Starwood Property Trust, Inc.",REIT - Diversified,5.34B,"Starwood Property Trust, Inc.(STWD)",195B,818B
Q,Quintiles Transnational Holdings Inc.,Medical Laboratories & Research,6.00B,Quintiles Transnational Holdings Inc.(Q),993M,92M
VELT,Velti Plc,Business Software & Services,0,Velti Plc(VELT),929B,500B
WBC,WABCO Holdings Inc.,Auto Parts,5.79B,WABCO Holdings Inc.(WBC),271B,690M
ELGX,Endologix Inc.,Medical Instruments & Supplies,1.11B,Endologix Inc.(ELGX),568B,624M
WBK,Westpac Banking Corporation,Foreign Money Center Banks,89.89B,Westpac Banking Corporation(WBK),486M,646M
BSPM,"Biostar Pharmaceuticals, Inc.",Drug Manufacturers - Major,24.44M,"Biostar Pharmaceuticals, Inc.(BSPM)",206B,968M
WBS,Webster Financial Corp.,Regional - Northeast Banks,2.78B,Webster Financial Corp.(WBS),393M,983B
LPTH,"LightPath Technologies, Inc.",Semiconductor Equipment & Materials,19.31M,"LightPath Technologies, Inc.(LPTH)",298B,558M
LPTN,Lpath Inc.,Biotechnology,56.68M,Lpath Inc.(LPTN),813M,823B
BEAM,"Beam, Inc.",Beverages - Wineries & Distillers,11.06B,"Beam, Inc.(BEAM)",680M,553B
BCPC,Balchem Corp.,Chemicals - Major Diversified,1.78B,Balchem Corp.(BCPC),496B,860B
BKMU,Bank Mutual Corporation,Savings & Loans,331.06M,Bank Mutual Corporation(BKMU),971M,543B
MEAS,Measurement Specialties Inc.,Scientific & Technical Instruments,951.01M,Measurement Specialties Inc.(MEAS),162B,886B
LLNW,"Limelight Networks, Inc.",Internet Information Providers,190.63M,"Limelight Networks, Inc.(LLNW)",104M,346M
BEAV,B/E Aerospace Inc.,Aerospace/Defense Products & Services,9.03B,B/E Aerospace Inc.(BEAV),929M,421M
USCR,"U.S. Concrete, Inc.",General Building Materials,302.02M,"U.S. Concrete, Inc.(USCR)",6M,504B
BFS-PA,"Saul Centers, Inc. Depositary S",,0,"Saul Centers, Inc. Depositary S(BFS-PA)",798M,923B
NEON,"Neonode, Inc.",Diversified Electronics,240.84M,"Neonode, Inc.(NEON)",463B,537B
XGTIW,"XG Technology, Inc",,0,"XG Technology, Inc(XGTIW)",502M,305M
SFL,Ship Finance International Limited,Shipping,1.52B,Ship Finance International Limited(SFL),540B,242M
FSBK,First South Bancorp Inc.,Savings & Loans,74.59M,First South Bancorp Inc.(FSBK),128M,666M
CTWS,Connecticut Water Service Inc.,Water Utilities,396.65M,Connecticut Water Service Inc.(CTWS),298M,10B
BVA,Cordia Bancorp Inc.,Regional - Mid-Atlantic Banks,11.68M,Cordia Bancorp Inc.(BVA),51M,42M
DHRM,Dehaier Medical Systems Limited,Medical Appliances & Equipment,18.06M,Dehaier Medical Systems Limited(DHRM),959M,16B
CPLA,Capella Education Co.,Education & Training Services,825.43M,Capella Education Co.(CPLA),402M,992B
PZN,"Pzena Investment Management, Inc",Asset Management,141.52M,"Pzena Investment Management, Inc(PZN)",866B,346M
VDSI,VASCO Data Security International Inc.,Security Software & Services,303.10M,VASCO Data Security International Inc.(VDSI),130B,512M
QADA,QAD Inc.,Application Software,279.87M,QAD Inc.(QADA),349B,614M
PZC,PIMCO California Municipal Inco,,0,PIMCO California Municipal Inco(PZC),37B,3B
PZB,"Merrill Lynch Depositor, Inc. M",,0,"Merrill Lynch Depositor, Inc. M(PZB)",267M,469M
SUMR,"Summer Infant, Inc.",Personal Products,31.81M,"Summer Infant, Inc.(SUMR)",945B,372B
DWSN,Dawson Geophysical Company,Oil & Gas Equipment & Services,268.02M,Dawson Geophysical Company(DWSN),892B,961M
AVID,"Avid Technology, Inc.",Multimedia & Graphics Software,323.47M,"Avid Technology, Inc.(AVID)",812M,444B
AVIV,"Aviv REIT, Inc.",REIT - Diversified,895.82M,"Aviv REIT, Inc.(AVIV)",302B,428M
MSCA,Main Street Capital Corporation,,919.85M,Main Street Capital Corporation(MSCA),911B,23M
MSCC,Microsemi Corporation,Semiconductor - Integrated Circuits,2.35B,Microsemi Corporation(MSCC),818M,49B
CRTX,Cornerstone Therapeutics Inc.,Biotechnology,251.64M,Cornerstone Therapeutics Inc.(CRTX),287M,226M
ASGN,On Assignment Inc.,Staffing & Outsourcing Services,1.86B,On Assignment Inc.(ASGN),685B,286M
CATO,The Cato Corporation,Apparel Stores,913.74M,The Cato Corporation(CATO),980B,483B
CATY,Cathay General Bancorp,Regional - Pacific Banks,2.13B,Cathay General Bancorp(CATY),680M,547M
VTUS,Ventrus Biosciences Inc.,Drug Manufacturers - Major,72.17M,Ventrus Biosciences Inc.(VTUS),633B,697M
CVGI,Commercial Vehicle Group Inc.,Auto Parts Wholesale,208.79M,Commercial Vehicle Group Inc.(CVGI),120M,566B
IRDM,Iridium Communications Inc.,Diversified Communication Services,484.71M,Iridium Communications Inc.(IRDM),424M,204B
GLW,Corning Inc.,Diversified Electronics,25.74B,Corning Inc.(GLW),1M,604B
GLT,PH Glatfelter Co.,Paper & Paper Products,1.21B,PH Glatfelter Co.(GLT),138M,551M
GLP,Global Partners LP,Basic Materials Wholesale,934.75M,Global Partners LP(GLP),829M,853B
SEM,Select Medical Holdings Corporation,Hospitals,1.66B,Select Medical Holdings Corporation(SEM),391M,178M
SEE,Sealed Air Corporation,Packaging & Containers,6.70B,Sealed Air Corporation(SEE),204M,751B
MFL,Blackrock MuniHoldings Investme,,0,Blackrock MuniHoldings Investme(MFL),446M,791M
REXI,"Resource America, Inc.",Asset Management,183.66M,"Resource America, Inc.(REXI)",145M,656B
MFM,MFS Municipal Income Trust,Closed-End Fund - Debt,256.19M,MFS Municipal Income Trust(MFM),442B,839M
CSRE,CSR plc,,1.73B,CSR plc(CSRE),789B,194B
CHFC,Chemical Financial Corporation,Regional - Midwest Banks,947.83M,Chemical Financial Corporation(CHFC),113M,280M
UTIW,UTi Worldwide Inc.,Air Delivery & Freight Services,1.84B,UTi Worldwide Inc.(UTIW),117B,694M
HZO,Marinemax Inc.,"Specialty Retail, Other",372.43M,Marinemax Inc.(HZO),197B,271M
CHFN,Charter Financial Corporation,Regional - Mid-Atlantic Banks,239.51M,Charter Financial Corporation(CHFN),945B,878B
KRC-PG,Kilroy Realty Corporation Prefe,,0,Kilroy Realty Corporation Prefe(KRC-PG),589M,333M
MNTX,"Manitex International, Inc.",Diversified Machinery,210.23M,"Manitex International, Inc.(MNTX)",71M,638M
UBFO,United Security Bancshares,Regional - Pacific Banks,71.80M,United Security Bancshares(UBFO),500B,765M
MNTG,"MTR Gaming Group, Inc.",Resorts & Casinos,148.58M,"MTR Gaming Group, Inc.(MNTG)",45M,656M
MNTA,Momenta Pharmaceuticals Inc.,Drugs - Generic,920.22M,Momenta Pharmaceuticals Inc.(MNTA),774M,795M
FELE,"Franklin Electric Co., Inc.",Industrial Electrical Equipment,2.17B,"Franklin Electric Co., Inc.(FELE)",395B,820B
ANFI,Amira Nature Foods Ltd.,Food - Major Diversified,544.77M,Amira Nature Foods Ltd.(ANFI),600M,614B
JAXB,"Jacksonville Bancorp, Inc.",Regional - Mid-Atlantic Banks,73.02M,"Jacksonville Bancorp, Inc.(JAXB)",834M,8M
YGE,Yingli Green Energy Holding Co. Ltd.,Semiconductor - Specialized,803.67M,Yingli Green Energy Holding Co. Ltd.(YGE),549B,421M
CQB,Chiquita Brands International Inc.,Farm Products,544.62M,Chiquita Brands International Inc.(CQB),615B,544M
TRNX,Tornier N.V.,Medical Instruments & Supplies,879.91M,Tornier N.V.(TRNX),620B,668M
ISS,iSoftStone Holdings Limited,Information Technology Services,295.93M,iSoftStone Holdings Limited(ISS),964M,759B
ABAX,"Abaxis, Inc.",Diagnostic Substances,890.80M,"Abaxis, Inc.(ABAX)",839M,154B
NBHC,National Bank Holdings Corp.,Regional - Midwest Banks,974.97M,National Bank Holdings Corp.(NBHC),39B,213B
TX,Ternium S.A.,Steel & Iron,6.15B,Ternium S.A.(TX),61B,472B
TY,Tri Continental Corporation Com,,0,Tri Continental Corporation Com(TY),5B,194B
TR,Tootsie Roll Industries Inc.,Confectioners,1.97B,Tootsie Roll Industries Inc.(TR),62M,847B
TS,Tenaris SA,Metal Fabrication,25.81B,Tenaris SA(TS),932B,307M
TV,"Grupo Televisa, S.A.B.",Broadcasting - TV,17.23B,"Grupo Televisa, S.A.B.(TV)",565B,722M
TW,Towers Watson & Co.,Management Services,8.97B,Towers Watson & Co.(TW),497B,496M
TU,TELUS Corporation,Wireless Communications,21.47B,TELUS Corporation(TU),94M,736M
TK,Teekay Corporation,Shipping,3.38B,Teekay Corporation(TK),275M,685B
TI,Telecom Italia S.p.A.,Diversified Communication Services,18.97B,Telecom Italia S.p.A.(TI),842M,771M
TM,Toyota Motor Corporation,Auto Manufacturers - Major,192.79B,Toyota Motor Corporation(TM),1M,661M
TC,Thompson Creek Metals Company Inc.,Industrial Metals & Minerals,368.62M,Thompson Creek Metals Company Inc.(TC),844B,427M
TA,TravelCenters of America LLC,"Specialty Retail, Other",285.05M,TravelCenters of America LLC(TA),565B,751B
TG,Tredegar Corp.,Rubber & Plastics,919.34M,Tredegar Corp.(TG),763M,700M
TD,The Toronto-Dominion Bank,Money Center Banks,86.18B,The Toronto-Dominion Bank(TD),191B,924B
TE,"TECO Energy, Inc.",Electric Utilities,3.73B,"TECO Energy, Inc.(TE)",516M,699B
TILE,Interface Inc.,Textile Industrial,1.45B,Interface Inc.(TILE),918M,466M
CAKE,The Cheesecake Factory Incorporated,Restaurants,2.47B,The Cheesecake Factory Incorporated(CAKE),234M,898M
PACQU,Prime Acquisition Corp.,,0,Prime Acquisition Corp.(PACQU),625B,421M
NEWL,NewLead Holdings Limited,Shipping,19.80M,NewLead Holdings Limited(NEWL),439M,731B
WY-PA,Weyerhaeuser Company Pref Conv ,,0,Weyerhaeuser Company Pref Conv (WY-PA),657B,205M
PMCS,PMC-Sierra Inc.,Semiconductor - Integrated Circuits,1.31B,PMC-Sierra Inc.(PMCS),773B,146B
GBLI,Global Indemnity plc,Property & Casualty Insurance,651.94M,Global Indemnity plc(GBLI),290M,970B
MTSI,"M/A-Com Technology Solutions Holdings, Inc.",Semiconductor - Broad Line,781.57M,"M/A-Com Technology Solutions Holdings, Inc.(MTSI)",346B,861M
MTSN,Mattson Technology Inc.,Semiconductor Equipment & Materials,162.50M,Mattson Technology Inc.(MTSN),268B,569M
BKD,Brookdale Senior Living Inc.,Long-Term Care Facilities,3.39B,Brookdale Senior Living Inc.(BKD),543M,889M
BKE,"The Buckle, Inc.",Apparel Stores,2.52B,"The Buckle, Inc.(BKE)",470B,514M
BKK,BlackRock Municipal 2020 Term Trust,Closed-End Fund - Debt,319.32M,BlackRock Municipal 2020 Term Trust(BKK),753B,63M
BKH,Black Hills Corporation,Electric Utilities,2.34B,Black Hills Corporation(BKH),238B,157B
BKS,"Barnes & Noble, Inc.","Specialty Retail, Other",885.32M,"Barnes & Noble, Inc.(BKS)",908M,58M
BKW,"Burger King Worldwide, Inc.",Restaurants,7.97B,"Burger King Worldwide, Inc.(BKW)",640B,419M
